Permalink BSG	Kurztitel
http://permalink.snl.ch/bib/chbsg000135572	Frenz 1986
http://permalink.snl.ch/bib/chbsg000138321	Frey 1911
http://permalink.snl.ch/bib/chbsg000112924	Frey 1989
http://permalink.snl.ch/bib/chbsg000046575	Frey 2005
http://permalink.snl.ch/bib/chbsg000145044	Frey 2017
http://permalink.snl.ch/bib/chbsg000141204	Frick 1982
http://permalink.snl.ch/bib/chbsg000137212	Friess 1998
http://permalink.snl.ch/bib/chbsg000138128	Fritzsche 1964
http://permalink.snl.ch/bib/chbsg000076061	Fröhlich 1993
http://permalink.snl.ch/bib/chbsg000150484	FUB, Bd. 2
http://permalink.snl.ch/bib/chbsg000090748	Fuchs 1983
http://permalink.snl.ch/bib/chbsg000151028	Fuhrer/Eyer 2006
http://permalink.snl.ch/bib/chbsg991001180449003977	Fuhrmann 2014
http://permalink.snl.ch/bib/chbsg000110466	Fumasoli 1981
http://permalink.snl.ch/bib/chbsg000094393	Furrer 1995
http://permalink.snl.ch/bib/chbsg000130082	Furrer 2011
http://permalink.snl.ch/bib/chbsg000090995	Gabathuler 1981
http://permalink.snl.ch/bib/chbsg000109488	Gabathuler 1989
http://permalink.snl.ch/bib/chbsg000007877	Gabathuler 1999a
http://permalink.snl.ch/bib/chbsg000007881	Gabathuler 1999b
http://permalink.snl.ch/bib/chbsg000040680	Gabathuler 2004
http://permalink.snl.ch/bib/chbsg000141200	Gabathuler 2005b
http://permalink.snl.ch/bib/chbsg000047765	Gabathuler 2006
http://permalink.snl.ch/bib/chbsg000052653	Gabathuler 2007
http://permalink.snl.ch/bib/chbsg000052680	Gabathuler 2007b
http://permalink.snl.ch/bib/chbsg000118195	Gabathuler 2008
http://permalink.snl.ch/bib/chbsg000118350	Gabathuler 2009a
http://permalink.snl.ch/bib/chbsg000117578	Gabathuler 2009b
http://permalink.snl.ch/bib/chbsg000118351	Gabathuler 2009c
http://permalink.snl.ch/bib/chbsg000124559	Gabathuler 2010
http://permalink.snl.ch/bib/chbsg000141269	Gabathuler 2010a
http://permalink.snl.ch/bib/chbsg991001200548303977	Gabathuler 2010b
http://permalink.snl.ch/bib/chbsg000120687	Gabathuler 2010c
http://permalink.snl.ch/bib/chbsg000124577	Gabathuler 2011
http://permalink.snl.ch/bib/chbsg000124601	Gabathuler 2012
http://permalink.snl.ch/bib/chbsg000124619	Gabathuler 2012a
http://permalink.snl.ch/bib/chbsg000150450	Gabathuler 2015
http://permalink.snl.ch/bib/chbsg000150449	Gabathuler 2016
http://permalink.snl.ch/bib/chbsg000150288	Gabathuler 2017
http://permalink.snl.ch/bib/chbsg991001170748703977	Gabathuler 2018
http://permalink.snl.ch/bib/chbsg000043632	Gäbler 2004
http://permalink.snl.ch/bib/chbsg000136489	Gagliardi 1908
http://permalink.snl.ch/bib/chbsg000137693	Gagliardi, Waldmann
http://permalink.snl.ch/bib/chbsg000138883	Gagliardi/Forrer 1982
http://permalink.snl.ch/bib/chbsg991001204748903977	Gallone 1972
